time,t2m,skt,sp,cvh,siconc,number,latitude,longitude,expver,ssr,t2m_c,skt_c
1984-04-01 00:00:00,220.67174,218.47467,68639.17,0.0,,0,-90.0,335.25,0001,,-52.478256,-54.675323
1984-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1984-05-01 00:00:00,224.26106,222.18764,69028.77,0.0,,0,-90.0,335.25,0001,,-48.88893,-50.962357
1984-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1984-06-01 00:00:00,215.80789,213.46562,68354.484,0.0,,0,-90.0,335.25,0001,,-57.342102,-59.684372
1984-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1984-07-01 00:00:00,224.76154,223.23505,68155.95,0.0,,0,-90.0,335.25,0001,,-48.38846,-49.914948
1984-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1984-08-01 00:00:00,219.46269,217.82881,68447.586,0.0,,0,-90.0,335.25,0001,,-53.6873,-55.321182
1984-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1984-09-01 00:00:00,221.28578,219.24525,68226.16,0.0,,0,-90.0,335.25,0001,,-51.864212,-53.90474
1984-09-01 06:00:00,,,,,,0,-90.0,335.25,,69009.19,,
1984-10-01 00:00:00,223.3413,222.14133,68014.38,0.0,,0,-90.0,335.25,0001,,-49.8087,-51.008667
1984-10-01 06:00:00,,,,,,0,-90.0,335.25,,1946112.0,,
1984-11-01 00:00:00,235.40237,234.36307,68773.766,0.0,,0,-90.0,335.25,0001,,-37.74762,-38.786926
1984-11-01 06:00:00,,,,,,0,-90.0,335.25,,4929024.0,,
1984-12-01 00:00:00,245.14487,244.69148,70024.47,0.0,,0,-90.0,335.25,0001,,-28.005127,-28.458511
1984-12-01 06:00:00,,,,,,0,-90.0,335.25,,6040064.0,,
1985-01-01 00:00:00,243.26093,242.16002,69841.44,0.0,,0,-90.0,335.25,0001,,-29.889069,-30.989975
1985-01-01 06:00:00,,,,,,0,-90.0,335.25,,5686784.0,,
1985-02-01 00:00:00,234.43958,233.27985,68780.7,0.0,,0,-90.0,335.25,0001,,-38.71042,-39.870148
1985-02-01 06:00:00,,,,,,0,-90.0,335.25,,2936832.0,,
1985-03-01 00:00:00,225.76422,224.03578,68816.945,0.0,,0,-90.0,335.25,0001,,-47.385773,-49.114212
1985-03-01 06:00:00,,,,,,0,-90.0,335.25,,420581.38,,
1985-04-01 00:00:00,224.02055,221.68607,68727.516,0.0,,0,-90.0,335.25,0001,,-49.12944,-51.46393
1985-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1985-05-01 00:00:00,220.55777,218.67337,68593.56,0.0,,0,-90.0,335.25,0001,,-52.592224,-54.476624
1985-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1985-06-01 00:00:00,224.97505,223.53136,68747.266,0.0,,0,-90.0,335.25,0001,,-48.174942,-49.618637
1985-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1985-07-01 00:00:00,220.63736,218.51845,66901.7,0.0,,0,-90.0,335.25,0001,,-52.512634,-54.631546
1985-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1985-08-01 00:00:00,220.67484,218.12828,68398.11,0.0,,0,-90.0,335.25,0001,,-52.47516,-55.021713
1985-08-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1985-09-01 00:00:00,218.09393,215.58383,67877.33,0.0,,0,-90.0,335.25,0001,,-55.05606,-57.566162
1985-09-01 06:00:00,,,,,,0,-90.0,335.25,,62554.688,,
1985-10-01 00:00:00,226.6332,225.26833,68152.695,0.0,,0,-90.0,335.25,0001,,-46.5168,-47.881668
1985-10-01 06:00:00,,,,,,0,-90.0,335.25,,1845760.0,,
1985-11-01 00:00:00,237.02843,236.59467,67944.19,0.0,,0,-90.0,335.25,0001,,-36.121567,-36.55533
1985-11-01 06:00:00,,,,,,0,-90.0,335.25,,4476928.0,,
1985-12-01 00:00:00,242.02258,241.4651,68860.484,0.0,,0,-90.0,335.25,0001,,-31.12741,-31.68489
1985-12-01 06:00:00,,,,,,0,-90.0,335.25,,6233088.0,,
1986-01-01 00:00:00,247.72476,247.0919,69594.5,0.0,,0,-90.0,335.25,0001,,-25.425232,-26.05809
1986-01-01 06:00:00,,,,,,0,-90.0,335.25,,5199360.0,,
1986-02-01 00:00:00,238.9261,238.10542,69914.875,0.0,,0,-90.0,335.25,0001,,-34.223892,-35.04457
1986-02-01 06:00:00,,,,,,0,-90.0,335.25,,2999296.0,,
1986-03-01 00:00:00,226.67691,226.82802,69023.61,0.0,,0,-90.0,335.25,0001,,-46.473083,-46.321976
1986-03-01 06:00:00,,,,,,0,-90.0,335.25,,430650.38,,
1986-04-01 00:00:00,225.22215,225.43843,68649.72,0.0,,0,-90.0,335.25,0001,,-47.92784,-47.711563
1986-04-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1986-05-01 00:00:00,217.72092,217.22717,69047.19,0.0,,0,-90.0,335.25,0001,,-55.429077,-55.92282
1986-05-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1986-06-01 00:00:00,217.068,215.9691,68610.8,0.0,,0,-90.0,335.25,0001,,-56.082,-57.180893
1986-06-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
1986-07-01 00:00:00,219.58264,218.54066,68014.76,0.0,,0,-90.0,335.25,0001,,-53.567352,-54.60933
1986-07-01 06:00:00,,,,,,0,-90.0,335.25,,8.639997e-11,,
